Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9_Part_1,Q9_Part_2,Q9_Part_3,Q9_Part_4,Q9_Part_5,Q9_Part_6,Q9_Part_7,Q9_Part_8,Q10,Q11,Q13_Part_1,Q13_Part_2,Q13_Part_3,Q13_Part_4,Q13_Part_5,Q13_Part_6,Q13_Part_7,Q13_Part_8,Q13_Part_9,Q13_Part_10,Q13_Part_11,Q13_Part_12,Q14,Q14_Part_1_TEXT,Q14_Part_2_TEXT,Q14_Part_3_TEXT,Q14_Part_4_TEXT,Q14_Part_5_TEXT,Q14_OTHER_TEXT,Q15,Q16_Part_1,Q16_Part_2,Q16_Part_3,Q16_Part_4,Q16_Part_5,Q16_Part_6,Q16_Part_7,Q16_Part_8,Q16_Part_9,Q16_Part_10,Q18_Part_1,Q18_Part_2,Q18_Part_3,Q18_Part_4,Q18_Part_5,Q18_Part_6,Q18_Part_7,Q18_Part_8,Q18_Part_9,Q18_Part_10,Q19,Q20_Part_1,Q20_Part_2,Q20_Part_3,Q20_Part_4,Q20_Part_5,Q20_Part_6,Q20_Part_7,Q20_Part_8,Q20_Part_9,Q20_Part_10,Q21_Part_1,Q23,Q24_Part_1,Q24_Part_2,Q24_Part_3,Q24_Part_4,Q24_Part_5,Q24_Part_6,Q24_Part_7,Q24_Part_8,Q24_Part_9,Q24_Part_10,Q25_Part_1,Q25_Part_2,Q25_Part_3,Q25_Part_4,Q25_Part_5,Q25_Part_6,Q25_Part_7,Q25_Part_8,Q26_Part_1,Q26_Part_2,Q26_Part_3,Q26_Part_4,Q26_Part_5,Q27_Part_1,Q27_Part_2,Q27_Part_3,Q27_Part_4,Q28_Part_1,Q28_Part_2,Q28_Part_3,Q28_Part_4,Q28_Part_5,Q28_Part_6,Q28_Part_7,Q28_Part_8,Q28_Part_9,Q28_Part_10,Q29_Part_1,Q29_Part_2,Q29_Part_3,Q29_Part_4,Q29_Part_5,Q29_Part_6,Q29_Part_7,Q29_Part_8,Q29_Part_9,Q29_Part_10,Q34_Part_1,Q34_Part_2,Q34_Part_3,Q34_Part_4,Q34_Part_5,Q34_Part_6,Q34_Part_7,Q34_Part_8,Q34_Part_9,Q34_Part_10
50-54,Female,United States of America,Masters degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,"125,000-149,999",$100-$999,,Coursera,,DataCamp,,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,564,-1,-1,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,,,,,,  Notepad++  ,,Python,R,SQL,,,,,,,,R, Ggplot / ggplot2 , Matplotlib ,,,,,,,,,,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Professional degree,Other,50-249 employees,I do not know,,,,,,,,,"40,000-49,999",$100-$999,,,edX,DataCamp,,,,Udemy,,University Courses (resulting in a university degree),,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",26,-1,-1,-1,-1,-1,< 1 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,,,Python,,,,,,,,,,Python, Ggplot / ggplot2 , Matplotlib ,,,,,, Seaborn ,,,CPUs,< 1 years,Linear or Logistic Regression,,,,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,Male,United States of America,Masters degree,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,"60,000-69,999",$1-$99,,Coursera,,,,,,,,University Courses (resulting in a university degree),,Other,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,566,-1,-1,3-5 years,, RStudio ,,,, Visual Studio / Visual Studio Code ,,,  Notepad++  ,,Python,R,SQL,,,,,,,,Python, Ggplot / ggplot2 ,,, Shiny , D3.js , Plotly / Plotly Express ,,,,,,2-3 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,,,,,None,,,,,,,,,,,,, Keras , RandomForest, Xgboost ,,,,,,, Amazon Web Services (AWS) , Microsoft Azure ,,,,,,,,,,,Microsoft SQL Server,,,,,Azure SQL Database,
25-29,Male,United States of America,Bachelors degree,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,,,,,,,,"70,000-79,999",$0 (USD),,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),,Udemy,,,,,"Advanced statistical software (SPSS, SAS, etc.)",-1,73,-1,-1,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,,,Python,,SQL,,,,,,,,SQL,, Matplotlib ,,,,,, Seaborn ,,,,< 1 years,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,"Automated data augmentation (e.g. imgaug, albumentations)",,"Automated model selection (e.g. auto-sklearn, xcessiv)",,,,,Other,,,,,,,,,,  Scikit-learn ,, Keras ,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Doctoral degree,Statistician,"> 10,000 employees",I do not know,,,,,,,,,"150,000-199,999","$1000-$9,999",,,,,,,,,,,None,,"Advanced statistical software (SPSS, SAS, etc.)",-1,74,-1,-1,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm , Atom ,,,,  Vim / Emacs  ,,  Sublime Text  ,Python,R,,,,,,,,,Python, Ggplot / ggplot2 , Matplotlib , Altair , Shiny ,,, Bokeh , Seaborn ,,,CPUs,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-2, etc)",,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , Caret , LightGBM ,,, Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Masters degree,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"70,000-79,999","> $100,000 ($USD)",,Coursera,,,DataQuest,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,6,-1,-1,3-5 years,, RStudio ,,,,,  Spyder  ,,  Notepad++  ,,Python,R,SQL,,,,,,,,Python,, Matplotlib ,,,,,,,,,,2-3 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,, Caret ,,,,,,,,,, Oracle Cloud ,,,,,,SQLite,,Oracle Database,,,,,
35-39,Male,United States of America,Masters degree,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"300,000-500,000","> $100,000 ($USD)",,,,,,,,,,,None,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,14,-1,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,  Vim / Emacs  ,,,Python,,SQL,,C++,,,,,,Python,, Matplotlib ,,,,, Bokeh ,,,,,10-15 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,,,"Object detection methods (YOLOv3, RetinaNet, etc)","Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,,,,,  Scikit-learn ,,, RandomForest, Xgboost , PyTorch ,,,,, Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,,,,,,,,,,PostgresSQL,SQLite,,,,,,,
35-39,Male,United States of America,Doctoral degree,Business Analyst,"1000-9,999 employees",No (we do not use ML methods),,,,,,,,,"> $500,000",$0 (USD),,Coursera,,,,,Fast.ai,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,0,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",, PyCharm ,,,,,  Vim / Emacs  ,,,Python,,SQL,,,,,,Bash,,Python,, Matplotlib ,,,,,, Seaborn ,,,CPUs,1-2 years,Linear or Logistic Regression,,,,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-69,Male,United States of America,Doctoral degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,"150,000-199,999","$1000-$9,999",,,,,,,,,,,None,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,30,-1,-1,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,, MATLAB , Visual Studio / Visual Studio Code ,  Spyder  ,,  Notepad++  ,,Python,R,SQL,C,,Java,Javascript,,Bash,MATLAB,SQL,,,,,, Plotly / Plotly Express ,,,,,CPUs,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,,,None,,,,,,,"Word embeddings/vectors (GLoVe, fastText, word2vec)",,,,,, Keras , RandomForest,, PyTorch , Caret ,,,,,,,,,,,,,,MySQL,PostgresSQL,,Microsoft SQL Server,,,,,,
35-39,Male,United States of America,Doctoral degree,Other,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,,"100,000-124,999",$100-$999,,,,DataCamp,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,3,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,  Notepad++  ,,Python,,SQL,,,,,,,,Python,, Matplotlib ,,,,,, Seaborn ,,,CPUs,4-5 years,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,, Amazon Web Services (AWS) ,, IBM Cloud ,,, Oracle Cloud ,,,,MySQL,PostgresSQL,,,Oracle Database,,,,,
40-44,Male,United States of America,Doctoral degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"150,000-199,999","$1000-$9,999",,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),,Udemy,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,82,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",, PyCharm ,,,,,,,,Python,,SQL,,,,,,,,Python,, Matplotlib ,,,,,, Seaborn ,,,CPUs,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,,,,"Automation of full ML pipelines (e.g. Google AutoML, H20 Driverless AI)",,,,,,,,"Word embeddings/vectors (GLoVe, fastText, word2vec)",,"Contextualized embeddings (ELMo, CoVe)","Transformer language models (GPT-2, BERT, XLnet, etc)",,,,,, PyTorch ,,,,, Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,,,,,,,,,,,,Microsoft SQL Server,,,AWS Relational Database Service,AWS DynamoDB,,
35-39,Male,Canada,Masters degree,Data Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,"250,000-299,999","> $100,000 ($USD)",Udacity,Coursera,,DataCamp,,,,,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",-1,-1,-1,-1,127,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,, Visual Studio / Visual Studio Code ,,,,  Sublime Text  ,Python,,SQL,,,,Javascript,,,,Python, Ggplot / ggplot2 , Matplotlib ,,,, Plotly / Plotly Express , Bokeh ,,,,CPUs,4-5 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"Automated model selection (e.g. auto-sklearn, xcessiv)",,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)","Automation of full ML pipelines (e.g. Google AutoML, H20 Driverless AI)",,,,,,,,,,,,  Scikit-learn ,,, RandomForest, Xgboost ,,,,,, Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,,,, Salesforce Cloud ,,,,,,PostgresSQL,,Microsoft SQL Server,,,,,,Google Cloud SQL
45-49,Male,United States of America,Masters degree,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,,,,,,,,"80,000-89,999","$1000-$9,999",,Coursera,,,,,,Udemy,LinkedIn Learning,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,203,-1,-1,1-2 years,, RStudio ,,,,,,,,,,R,,,,,,,,,R, Ggplot / ggplot2 ,,,, D3.js ,,,,,,,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,,,None,,,,,,,,,,,,,, RandomForest,,,,,,,,,,,,,,,,,,,,,,Microsoft Access,,,,
25-29,Prefer not to say,United States of America,Masters degree,Student,,,,,,,,,,,,,Udacity,Coursera,edX,DataCamp,,Kaggle Courses (i.e. Kaggle Learn),,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,32,-1,-1,3-5 years,,, PyCharm ,,,,,  Vim / Emacs  ,  Notepad++  ,  Sublime Text  ,Python,,,C,,Java,,,,,Python,, Matplotlib ,,,, Plotly / Plotly Express ,,,,,CPUs,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,,,None,,,,,"Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest,, PyTorch ,,,, Fast.ai ,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Bachelors degree,Student,,,,,,,,,,,,,,,,,,Kaggle Courses (i.e. Kaggle Learn),,,,University Courses (resulting in a university degree),,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,-1,-1,-1,-1,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,, MATLAB , Visual Studio / Visual Studio Code ,,,  Notepad++  ,,Python,R,,,,Java,,,,,Python, Ggplot / ggplot2 , Matplotlib ,,,,,,,,,CPUs,2-3 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,"General purpose image/video tools (PIL, cv2, skimage, etc)","Image segmentation methods (U-Net, Mask R-CNN, etc)",,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost ,,, LightGBM ,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Bachelors degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"125,000-149,999","> $100,000 ($USD)",,,,,,,Fast.ai,,,,,,Other,-1,-1,-1,-1,-1,136,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,, Visual Studio / Visual Studio Code ,,  Vim / Emacs  ,,,Python,,SQL,,,,Javascript,,Bash,,SQL,, Matplotlib ,,,,, Bokeh , Seaborn ,,,CPUs,4-5 years,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,,,,Other,,,,,,,,,,,  TensorFlow , Keras ,,,,,,,,, Amazon Web Services (AWS) ,,,,,,,,,,PostgresSQL,SQLite,Microsoft SQL Server,,,,,,
50-54,Prefer not to say,United States of America,Doctoral degree,Data Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,"150,000-199,999",$0 (USD),,Coursera,,,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,575,-1,-1,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,,,,,  Vim / Emacs  ,,  Sublime Text  ,Python,R,SQL,,,,Javascript,,Bash,,Python,, Matplotlib ,,,,,,,,,CPUs,20+ years,,,,,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Bachelors degree,Data Analyst,250-999 employees,We use ML methods for generating insights (but do not put working models into production),,,,,,,None of these activities are an important part of my role at work,,"150,000-199,999",$100-$999,,,,,,Kaggle Courses (i.e. Kaggle Learn),Fast.ai,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,14,-1,-1,< 1 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,  Vim / Emacs  ,,,Python,,SQL,,C++,,Javascript,,Bash,,SQL, Ggplot / ggplot2 , Matplotlib ,,,,,, Seaborn ,,,CPUs,< 1 years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,,,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,,,"Object detection methods (YOLOv3, RetinaNet, etc)","Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, PyTorch ,,,,, Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,,,,,,,,,MySQL,PostgresSQL,SQLite,,,,,,,
25-29,Male,United States of America,Masters degree,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,,,,,,,,"70,000-79,999","$1000-$9,999",,Coursera,,DataCamp,,,,,,University Courses (resulting in a university degree),,,"Advanced statistical software (SPSS, SAS, etc.)",-1,75,-1,-1,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,, Visual Studio / Visual Studio Code ,  Spyder  ,,,  Sublime Text  ,Python,R,SQL,,,,,,,,SQL,, Matplotlib ,, Shiny , D3.js , Plotly / Plotly Express ,,,,,CPUs,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,, Microsoft Azure ,,,,,,,,,,,Microsoft SQL Server,,,,,Azure SQL Database,
30-34,Male,United States of America,Bachelors degree,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,"> $500,000","> $100,000 ($USD)",,Coursera,,,,,,,,,,Other,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,32,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",, PyCharm ,,,,,,,,Python,,SQL,,,,Javascript,,,,Python,, Matplotlib ,,, D3.js ,,,,,,CPUs,2-3 years,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,, LightGBM ,,,,,,,,,,,,,MySQL,,,,,,,,,
22-24,Male,United States of America,Masters degree,Student,,,,,,,,,,,,,Udacity,Coursera,edX,DataCamp,,,,Udemy,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,82,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",, PyCharm ,,, Visual Studio / Visual Studio Code ,,,,  Sublime Text  ,Python,,SQL,,,Java,Javascript,,,,Python,, Matplotlib ,,, D3.js ,,,,,,,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,"Automated data augmentation (e.g. imgaug, albumentations)","Automated feature engineering/selection (e.g. tpot, boruta_py)","Automated model selection (e.g. auto-sklearn, xcessiv)",,,,,,,,,,,,,,,  Scikit-learn ,,, RandomForest,, PyTorch ,,,,,,,,,,,,,,,,,,,,,,,,
60-69,Male,United States of America,Doctoral degree,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"100,000-124,999","$10,000-$99,999",Udacity,Coursera,edX,DataCamp,,,,Udemy,LinkedIn Learning,,,,"Advanced statistical software (SPSS, SAS, etc.)",-1,30,-1,-1,-1,-1,20+ years,, RStudio ,,,,,,,,,,R,,,,,,,,,R, Ggplot / ggplot2 ,,,,,,,,,,,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,,,,,,,,,,,,, RandomForest,,, Caret ,,,,,,,,,,,,,,,,,Microsoft SQL Server,,,,,,
22-24,Female,Canada,Masters degree,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"40,000-49,999",$0 (USD),,Coursera,edX,DataCamp,,Kaggle Courses (i.e. Kaggle Learn),,Udemy,LinkedIn Learning,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,95,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,  Vim / Emacs  ,,,Python,,SQL,C,C++,Java,,,Bash,,C++,, Matplotlib ,,,,,, Seaborn ,,,CPUs,2-3 years,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"Automated model selection (e.g. auto-sklearn, xcessiv)",,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,,,,,,,,,,  Scikit-learn ,,,, Xgboost ,,,,,,,,,,,,,,,,,,,,,,,,,
60-69,Male,United States of America,Masters degree,Product/Project Manager,50-249 employees,No (we do not use ML methods),,,,,,,,,"150,000-199,999","$10,000-$99,999",,Coursera,,,DataQuest,,Fast.ai,Udemy,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",-1,-1,-1,-1,23,-1,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,  Notepad++  ,,Python,R,SQL,,,,Javascript,,Bash,,Python,, Matplotlib ,,, D3.js , Plotly / Plotly Express ,, Seaborn ,,,CPUs,4-5 years,Linear or Logistic Regression,,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,"Automated data augmentation (e.g. imgaug, albumentations)","Automated feature engineering/selection (e.g. tpot, boruta_py)",,,,,,,"General purpose image/video tools (PIL, cv2, skimage, etc)","Image segmentation methods (U-Net, Mask R-CNN, etc)","Object detection methods (YOLOv3, RetinaNet, etc)",,,"Word embeddings/vectors (GLoVe, fastText, word2vec)",,,"Transformer language models (GPT-2, BERT, XLnet, etc)",  Scikit-learn ,  TensorFlow , Keras ,,,,,,, Fast.ai , Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,,,,,,,,,MySQL,,,,,,AWS Relational Database Service,AWS DynamoDB,,
30-34,Male,United States of America,Doctoral degree,Data Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"300,000-500,000",$0 (USD),,Coursera,edX,DataCamp,,Kaggle Courses (i.e. Kaggle Learn),,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,579,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,, Visual Studio / Visual Studio Code ,,,,,Python,R,SQL,,,,,TypeScript,,,Python, Ggplot / ggplot2 ,,,,, Plotly / Plotly Express ,,,,,CPUs,4-5 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,,,,,,,,,,  Scikit-learn ,,,, Xgboost , PyTorch ,,,,,,,,,,,,,,,,,,,,,,,,
60-69,Male,United States of America,Doctoral degree,Data Scientist,"> 10,000 employees",I do not know,,,,,,,,,"100,000-124,999",$1-$99,,Coursera,,,,,,,,,,,Other,-1,-1,-1,-1,-1,139,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,, Atom ,, Visual Studio / Visual Studio Code ,,,  Notepad++  ,,Python,,,C,,,,,,,C,, Matplotlib ,,,,,,,,,CPUs,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,,,,,,,,,,,,,,,,,
